DEPARTAMENTO,MUNICIPIO,MECANISMO_VIOLENCIA,SEXO,GRUPO_ETARIO,AÑO,MES,CANTIDAD
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,MENORES,2021,4,1
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,MENORES,2021,2,1
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,MENORES,2021,5,1
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,MENORES,2022,9,1
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,MENORES,2023,5,1
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,MENORES,2023,9,2
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,ADOLESCENTES,2015,8,1
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,ADOLESCENTES,2015,7,1
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,ADOLESCENTES,2015,5,1
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,ADOLESCENTES,2015,10,2
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,ADOLESCENTES,2015,9,1
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,ADOLESCENTES,2016,4,1
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,ADOLESCENTES,2016,8,1
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,ADOLESCENTES,2016,3,1
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,ADOLESCENTES,2017,4,1
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,ADOLESCENTES,2017,12,1
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,ADOLESCENTES,2017,6,1
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,ADOLESCENTES,2017,11,1
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,ADOLESCENTES,2017,10,1
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,ADOLESCENTES,2018,8,1
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,ADOLESCENTES,2018,1,1
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,ADOLESCENTES,2018,5,1
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,ADOLESCENTES,2018,11,1
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,ADOLESCENTES,2018,9,2
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,ADOLESCENTES,2019,1,1
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,ADOLESCENTES,2019,3,1
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,ADOLESCENTES,2020,4,2
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,ADOLESCENTES,2020,12,1
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,ADOLESCENTES,2020,2,1
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,ADOLESCENTES,2020,7,2
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,ADOLESCENTES,2020,3,2
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,ADOLESCENTES,2020,10,1
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,ADOLESCENTES,2021,1,2
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,ADOLESCENTES,2021,6,2
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,ADOLESCENTES,2022,8,1
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,ADOLESCENTES,2022,7,1
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,ADOLESCENTES,2022,5,1
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,ADOLESCENTES,2023,2,1
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,ADOLESCENTES,2023,7,2
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,ADOLESCENTES,2023,3,1
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,ADOLESCENTES,2023,11,1
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,ADOLESCENTES,2024,1,1
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,ADOLESCENTES,2024,6,1
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,ADOLESCENTES,2024,9,1
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,ADULTOS,2015,12,1
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,ADULTOS,2015,2,1
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,ADULTOS,2015,6,3
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,ADULTOS,2015,5,1
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,ADULTOS,2016,12,3
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,ADULTOS,2016,7,2
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,ADULTOS,2016,6,2
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,ADULTOS,2016,9,2
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,ADULTOS,2017,4,1
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,ADULTOS,2017,5,1
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,ADULTOS,2017,11,1
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,ADULTOS,2018,4,1
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,ADULTOS,2018,8,1
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,ADULTOS,2018,6,1
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,ADULTOS,2018,5,2
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,ADULTOS,2018,9,1
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,ADULTOS,2019,4,1
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,ADULTOS,2019,8,2
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,ADULTOS,2019,2,1
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,ADULTOS,2019,10,1
AMAZONAS,LETICIA,CONTUNDENTE,FEMENINO,ADULTOS,2019,9,2
